id,rim_width_mm,rim_shoulder_mm,parting_line_mm,dome_mm,plate_thick_mm,nose_radius_mm,alpha_deg,Cl,Cd,Cm,n_iter
geom_017,16.85,13.58,7.21,2.13,1.98,3.5,2.0,0.227,0.06315,-0.02145,1000
geom_017,16.85,13.58,7.21,2.13,1.98,3.5,5.0,0.38679,0.09474,-0.00835,1000
geom_018,15.92,19.06,15.28,3.26,2.75,2.35,-1.0,-0.00496,0.05738,-0.0041,210
geom_018,15.92,19.06,15.28,3.26,2.75,2.35,-4.0,-0.09539,0.06664,-0.0172,204
geom_018,15.92,19.06,15.28,3.26,2.75,2.35,11.0,0.59674,0.20963,0.04448,1000
geom_018,15.92,19.06,15.28,3.26,2.75,2.35,14.0,0.73352,0.27969,0.05316,1000
geom_018,15.92,19.06,15.28,3.26,2.75,2.35,2.0,0.11466,0.06464,0.00836,1000
geom_018,15.92,19.06,15.28,3.26,2.75,2.35,5.0,0.27406,0.09443,0.02157,1000
geom_018,15.92,19.06,15.28,3.26,2.75,2.35,8.0,0.42755,0.14111,0.03639,1000
geom_019,9.53,19.79,14.2,5.53,2.11,2.78,-1.0,0.02595,0.06079,-0.01124,304
geom_019,9.53,19.79,14.2,5.53,2.11,2.78,-4.0,-0.06549,0.06776,-0.02216,193
geom_019,9.53,19.79,14.2,5.53,2.11,2.78,11.0,0.67381,0.23249,0.02168,1000
geom_019,9.53,19.79,14.2,5.53,2.11,2.78,14.0,0.84035,0.31604,0.03186,1000
geom_019,9.53,19.79,14.2,5.53,2.11,2.78,2.0,0.1538,0.07049,-0.00071,214
geom_019,9.53,19.79,14.2,5.53,2.11,2.78,5.0,0.32113,0.10586,0.00514,1000
geom_019,9.53,19.79,14.2,5.53,2.11,2.78,8.0,0.49227,0.15718,0.01487,1000
geom_020,9.91,15.62,11.41,5.43,1.7,1.96,-1.0,0.04245,0.05883,-0.01805,245
geom_020,9.91,15.62,11.41,5.43,1.7,1.96,-4.0,-0.05647,0.06138,-0.02445,209
geom_020,9.91,15.62,11.41,5.43,1.7,1.96,11.0,0.71822,0.23033,0.01952,1000
geom_020,9.91,15.62,11.41,5.43,1.7,1.96,14.0,0.86618,0.30406,0.03689,1000
geom_020,9.91,15.62,11.41,5.43,1.7,1.96,2.0,0.18745,0.07511,-0.01316,1000
geom_020,9.91,15.62,11.41,5.43,1.7,1.96,5.0,0.35455,0.10645,-0.00345,1000
geom_020,9.91,15.62,11.41,5.43,1.7,1.96,8.0,0.54974,0.16537,0.00323,1000
geom_021,17.68,18.63,12.24,3.94,2.32,1.82,-1.0,0.00683,0.05254,-0.01114,1000
geom_021,17.68,18.63,12.24,3.94,2.32,1.82,-4.0,-0.08374,0.06281,-0.02333,1000
geom_021,17.68,18.63,12.24,3.94,2.32,1.82,11.0,0.62921,0.20017,0.03626,1000
geom_021,17.68,18.63,12.24,3.94,2.32,1.82,14.0,0.75938,0.26558,0.05422,1000
geom_021,17.68,18.63,12.24,3.94,2.32,1.82,2.0,0.12946,0.05756,0.00152,321
geom_021,17.68,18.63,12.24,3.94,2.32,1.82,5.0,0.29773,0.08195,0.0106,1000
geom_021,17.68,18.63,12.24,3.94,2.32,1.82,8.0,0.48508,0.14257,0.01808,1000
geom_022,19.28,15.91,9.67,3.78,1.95,1.89,-1.0,0.04008,0.04811,-0.02048,337
geom_022,19.28,15.91,9.67,3.78,1.95,1.89,-4.0,-0.05364,0.05454,-0.03121,1000
geom_022,19.28,15.91,9.67,3.78,1.95,1.89,11.0,0.63903,0.18903,0.03565,1000
geom_022,19.28,15.91,9.67,3.78,1.95,1.89,14.0,0.76204,0.24826,0.05685,1000
geom_022,19.28,15.91,9.67,3.78,1.95,1.89,2.0,0.17069,0.05592,-0.00789,1000
geom_022,19.28,15.91,9.67,3.78,1.95,1.89,5.0,0.34391,0.09117,0.00095,1000
geom_022,19.28,15.91,9.67,3.78,1.95,1.89,8.0,0.50499,0.13829,0.01453,1000
geom_023,16.96,19.84,11.03,1.43,1.68,1.66,-1.0,-0.02377,0.05458,-0.00664,240
geom_023,16.96,19.84,11.03,1.43,1.68,1.66,-4.0,-0.11955,0.06673,-0.01799,228
geom_023,16.96,19.84,11.03,1.43,1.68,1.66,11.0,0.62788,0.19389,0.03628,1000
geom_023,16.96,19.84,11.03,1.43,1.68,1.66,14.0,0.77647,0.26489,0.05272,1000
geom_023,16.96,19.84,11.03,1.43,1.68,1.66,2.0,0.10386,0.05644,0.00455,1000
geom_023,16.96,19.84,11.03,1.43,1.68,1.66,5.0,0.27965,0.08418,0.01532,1000
geom_023,16.96,19.84,11.03,1.43,1.68,1.66,8.0,0.45904,0.1332,0.02318,1000
geom_024,20.49,19.14,9.83,2.32,2.89,2.7,-1.0,0.00668,0.04939,-0.01359,1000
geom_024,20.49,19.14,9.83,2.32,2.89,2.7,-4.0,-0.08564,0.05929,-0.02591,222
geom_024,20.49,19.14,9.83,2.32,2.89,2.7,11.0,0.59753,0.16775,0.04304,1000
geom_024,20.49,19.14,9.83,2.32,2.89,2.7,14.0,0.75907,0.23598,0.06235,1000
geom_024,20.49,19.14,9.83,2.32,2.89,2.7,2.0,0.13156,0.05574,-0.002,1000
geom_024,20.49,19.14,9.83,2.32,2.89,2.7,5.0,0.29488,0.08196,0.01096,1000
geom_024,20.49,19.14,9.83,2.32,2.89,2.7,8.0,0.4465,0.1178,0.02499,1000
geom_025,17.28,18.42,12.46,5.99,3.22,1.97,-1.0,0.02046,0.05251,-0.0133,243
geom_025,17.28,18.42,12.46,5.99,3.22,1.97,-4.0,-0.06664,0.06207,-0.02524,1000
geom_025,17.28,18.42,12.46,5.99,3.22,1.97,11.0,0.60156,0.18331,0.04096,1000
geom_025,17.28,18.42,12.46,5.99,3.22,1.97,14.0,0.74118,0.25172,0.05716,1000
geom_025,17.28,18.42,12.46,5.99,3.22,1.97,2.0,0.13683,0.05774,-0.00065,1000
