id,rim_width_mm,rim_shoulder_mm,parting_line_mm,dome_mm,plate_thick_mm,nose_radius_mm,CL0,CLa,CD0,CDa,alpha0,CM0,CMa
geom_105,9.39,19.13,8.82,4.97,2.11,3.59,0.11422523809523819,2.959790834827711,0.07224474089479803,2.338435020645927,-0.06114421315480425,-0.022741904761904755,0.1972339000476533
geom_106,11.82,18.72,9.16,5.1,2.35,2.02,0.06793952380952388,3.0098018652312732,0.056933403165064615,2.9698975860145884,-0.025879838303214567,-0.009319880952380944,0.1769280029511716
geom_107,21.06,19.52,9.1,2.93,2.79,3.06,0.058643928571428604,2.7980189297429763,0.051680943645245836,2.5376179932319576,-0.0272888570558361,-0.010336547619047608,0.24677428654807193
geom_108,9.91,15.06,8.79,4.96,2.17,3.06,0.14797833333333343,2.9934452843655146,0.06713137339838321,2.0463260482050694,-0.07785798055132662,-0.03399321428571427,0.25948849285907016
geom_109,11.45,17.44,11.17,0.81,2.1,2.27,0.08265499999999998,3.068229918482353,0.06278734639319793,2.601276645468956,-0.052857065502160246,-0.012009880952380939,0.19493524794099745
geom_110,17.76,17.01,11.63,0.72,2.33,1.81,0.09167535714285718,2.762331844217685,0.051942945040471714,2.4672287195101448,-0.05114928539148383,-0.011948690476190469,0.25426366344156776
geom_111,13.25,17.16,8.49,0.45,3.04,3.05,0.06984642857142864,2.991780978389183,0.058710893462438865,2.2717367328996594,-0.04791281759173524,-0.013706190476190459,0.23513096563987768
geom_112,19.14,13.66,8.92,3.91,2.53,1.64,0.11672988095238103,2.665515618692841,0.0471433619644525,2.0914863471999388,-0.05452591215005047,-0.020255833333333324,0.3182712342690397
geom_113,12.56,13.54,10.93,1.14,1.69,3.33,0.09906809523809525,2.788394602970006,0.05871570505321121,2.1435075377728774,-0.06536613917262449,-0.016521785714285708,0.2720117132383581
geom_114,10.71,14.37,11.84,1.3,3.06,2.84,0.11726452380952383,2.8012043022468593,0.0624348321943632,2.206037182535002,-0.06666712503811499,-0.02187714285714285,0.2715001437784199
geom_115,13.71,19.23,15.07,4.47,1.7,2.19,0.07345511904761912,2.8038985680692,0.058876915527350276,3.401178441415602,-0.023469002988509492,-0.0029615476190476145,0.19885045954105818
geom_116,15.79,19.72,13.84,0.71,2.26,1.68,0.05775464285714293,2.79028399950871,0.057246432772403474,3.1883171090378566,-0.02270254424578113,-0.0022910714285714227,0.21181021919282675
geom_117,9.01,19.64,13.55,5.8,2.0,3.25,0.11202273809523822,2.978432425947861,0.07093351441567611,3.063996016708706,-0.04062940787952442,-0.016700952380952375,0.1728149844932682
geom_118,11.47,17.4,8.38,1.99,2.79,1.91,0.07467416666666664,3.0967072850855812,0.06201648260776849,2.3539371617432066,-0.05587104510721592,-0.015001071428571423,0.1862726717527101
geom_119,12.35,17.06,12.41,4.77,2.19,2.08,0.10608333333333335,2.905578113926524,0.058438516525681265,2.5651918296374796,-0.05557139683551449,-0.014246904761904752,0.2075880659168032
geom_120,16.01,18.13,10.85,1.24,2.31,2.05,0.08667464285714288,2.8657507262387987,0.054506845533261065,2.6445697397938486,-0.04164293350091898,-0.011699642857142848,0.2322729975903561
geom_121,20.01,17.59,9.98,1.99,1.64,3.6,0.07319892857142861,2.827526256192214,0.05092993585697499,2.6363627239188174,-0.03127480649080002,-0.01018499999999999,0.2727688360390667
geom_122,22.74,16.96,11.21,1.85,1.77,1.82,0.08634107142857148,2.614672435301114,0.04855917830169368,2.6821309500155426,-0.032832687320228635,-0.010733095238095233,0.2985792205244839
geom_123,9.2,15.01,12.0,4.3,2.06,1.88,0.10190630952380948,3.0433812845816197,0.058305081325260875,2.78491405359329,-0.04765733452891643,-0.014907976190476178,0.19586289389501882
geom_124,22.02,16.4,12.26,5.92,2.97,2.77,0.0674976190476191,2.5518176009900353,0.04985864097701729,2.584688920261225,-0.024445253388587676,-0.007194880952380945,0.3074396035706142
geom_125,10.63,19.52,15.41,5.3,2.92,1.84,0.06954571428571434,2.9279780353456863,0.05969142241247669,3.656160437278946,-0.01741224936073598,-0.002792738095238092,0.16571440038932553
geom_126,9.94,15.22,10.21,1.46,3.12,3.03,0.1551392857142856,2.796238668022392,0.07000597976986797,2.103297502321675,-0.06847220288294104,-0.034533214285714264,0.31023618328494296
geom_127,15.62,17.34,11.94,0.62,2.85,2.54,0.07988809523809524,2.8246546462904276,0.05566776771588284,2.4701815082905783,-0.04842409658655314,-0.009910476190476188,0.24102424581836623
geom_128,11.28,19.08,14.7,5.13,1.75,2.11,0.08056642857142857,2.804014523813453,0.06036523018548365,3.056179811113444,-0.03142874725773032,-0.004243809523809516,0.20162657647698956
geom_129,22.96,17.92,9.42,1.85,2.25,1.78,0.08016476190476192,2.7580005561235423,0.04865451954534485,2.6040123174273018,-0.02920737255780408,-0.013474285714285704,0.27616565725305664
